type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km,dist_eiffel_tower_km,dist_louvre_museum_km,dist_notre_dame_cathedral_km,dist_arc_de_triomphe_km,dist_sacré_cœur_km,dist_musée_dorsay_km,dist_centre_pompidou_km,dist_luxembourg_gardens_km,dist_sainte_chapelle_km,dist_panthéon_km,dist_nearest_top_poi_km,dist_avg_top_pois_km,n_top_pois_within_1km,n_top_pois_within_2km,n_top_pois_within_3km,nearest_poi_band,lat_api,lon_api,n_geoapify_pois_total,n_geoapify_tourism,n_geoapify_attractions,n_geoapify_sights,n_geoapify_heritage,geoapify_tourism_density_score,geoapify_limit_hit
weekend,711.1566781619908,355.5783390809954,Entire home/apt,2,6.0,False,9.0,84.0,2.361,48.862,0.8551872014115026,4.881247706201101,1.7188529090530331,1.2887813296978938,5.0026217986647055,3.0425475920061884,2.5262985933125393,0.662304838032997,2.4736116955639553,1.3815549977904473,2.071482981298369,0.662304838032997,2.504930444162124,1,4,7,0.5-1 km,48.86,2.36,20,11,1,10,13,35,
weekend,697.4088917886103,348.70444589430514,Private room,1,4.0,False,10.0,92.0,2.321,48.869,2.707759398134474,2.268683625128751,1.5319450853759025,2.763127442624368,1.9750875594663646,2.5466785610879743,1.0813455463532649,2.4659642051695103,2.798588383818148,2.317155089056955,3.1261146823613135,1.0813455463532649,2.2874690180442556,0,3,9,1-2 km,48.87,2.32,20,16,8,11,8,46,1.0
weekend,428.5115108584211,214.25575542921052,Private room,1,3.0,False,9.0,82.0,2.321,48.869,2.707752367447614,2.268683625128751,1.5319450853759025,2.763127442624368,1.9750875594663646,2.5466785610879743,1.0813455463532649,2.4659642051695103,2.798588383818148,2.317155089056955,3.1261146823613135,1.0813455463532649,2.2874690180442556,0,3,9,1-2 km,48.87,2.32,20,16,8,11,8,46,1.0
weekend,312.7038866623171,156.35194333115854,Entire home/apt,0,2.0,False,9.0,93.0,2.36003,48.85463,0.5760833588541148,4.812491374457734,1.7701398769055847,0.7629945618456735,5.212649652651978,3.7748884424448064,2.5175494507528122,0.8768197821942979,1.9154861931144118,1.102961504141401,1.390145415697393,0.7629945618456735,2.413612625420609,2,6,7,0.5-1 km,48.85,2.36,20,8,2,7,16,34,1.0
weekend,735.6230776400411,367.8115388200205,Entire home/apt,1,2.0,True,10.0,98.0,2.31622,48.871390000000005,3.14520957018142,2.1472232923110313,1.971091233459364,3.2018171489396394,1.5749305010207848,2.6003820408207954,1.4766624357545883,2.892392617413692,3.1939503879620155,2.7556220556950715,3.548516787979553,1.4766624357545883,2.5362588501356536,0,3,7,1-2 km,48.87,2.32,20,16,8,11,8,46,1.0
weekend,660.1267592506291,330.0633796253145,Entire home/apt,1,3.0,True,10.0,97.0,2.34744,48.86212,0.7297662606743798,3.8948474303203304,0.7394047057950773,1.0299435305369484,4.049567548102329,2.7515395067368296,1.5426413497048779,0.38706130796680355,1.9222348981668038,0.7682551381678328,1.7733556195828997,0.38706130796680355,1.8858851035080737,3,7,8,0-0.5 km,48.86,2.35,20,13,12,7,9,47,
weekend,560.6300680398919,280.3150340199459,Entire home/apt,1,4.0,False,10.0,96.0,2.331,48.87,2.184924353071191,2.965187886155476,1.1513387850234311,2.3419756629257646,2.666652949741451,2.057000214059038,1.1575920110908176,1.8700979858595057,2.685028015322132,1.9194779222964167,2.864936854954125,1.1513387850234311,2.1679288287428156,0,4,10,1-2 km,48.87,2.33,20,12,3,11,16,44,1.0
weekend,291.7326871097027,145.86634355485134,Entire home/apt,1,2.0,False,9.0,90.0,2.35246,48.86979,1.4701103051476636,4.424859348088219,1.4918964876139433,1.8763318123618542,4.226099835635814,2.0010170884595775,2.1824838812332152,1.022058337740468,2.8507767712930354,1.6905926267623976,2.6653226743523177,1.022058337740468,2.443143886354084,0,4,8,1-2 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,465.5606300680399,232.78031503402,Entire home/apt,2,4.0,False,9.0,87.0,2.3402700000000003,48.8716,1.905273433481092,3.6555906223511987,1.2386380052780976,2.1849052951564647,3.31992377738174,1.691749123793514,1.632046307572569,1.50252299570293,2.8332667958685964,1.834286272461988,2.8552895971293593,1.2386380052780976,2.2748218792696457,0,5,8,1-2 km,48.87,2.34,20,7,2,5,16,30,1.0
weekend,560.6300680398919,280.3150340199459,Entire home/apt,1,4.0,False,10.0,96.0,2.331,48.87,2.18492170578598,2.965187886155476,1.1513387850234311,2.3419756629257646,2.666652949741451,2.057000214059038,1.1575920110908176,1.8700979858595057,2.685028015322132,1.9194779222964167,2.864936854954125,1.1513387850234311,2.1679288287428156,0,4,10,1-2 km,48.87,2.33,20,12,3,11,16,44,1.0
weekend,212.04212880976792,106.02106440488396,Private room,1,2.0,False,10.0,91.0,2.34478,48.87276,1.8925590697217995,4.009504225225158,1.4505431361007177,2.2289043877798007,3.6425392633863245,1.5549180931369722,1.944602220264052,1.4569909812662898,3.0049453155448576,1.930411006628177,2.9546855244113064,1.4505431361007177,2.417804415374366,0,5,7,1-2 km,48.87,2.34,20,7,2,5,16,30,1.0
weekend,663.6219591760649,331.81097958803247,Entire home/apt,1,6.0,False,9.0,85.0,2.329,48.853,1.7864887631675548,2.5945117723982802,1.0535770181255182,1.5291590070135819,3.3963234616213365,3.8865893178811524,0.7979231426960913,1.8960555492117426,0.9652581062979573,1.2006538159978446,1.4556812961120171,0.7979231426960913,1.8775732487355525,2,7,8,0.5-1 km,48.85,2.33,20,15,13,2,6,36,1.0
weekend,212.04212880976792,106.02106440488396,Private room,1,2.0,False,9.0,90.0,2.34647,48.87191,1.7666684950385811,4.087547561890283,1.415112708224002,2.1176134437558463,3.7701965584399706,1.6629347571775999,1.966288510664295,1.3256176843873122,2.9381566736412026,1.8389747439213942,2.859028325969817,1.3256176843873122,2.3981470968071723,0,5,8,1-2 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,576.9410010252586,288.4705005126293,Entire home/apt,2,6.0,False,9.0,96.0,2.32167,48.855540000000005,2.282466248808617,2.013027935128095,1.2941204285179095,2.0846311402483355,2.8157579328773017,3.802856801094255,0.6132127835613241,2.303294849704257,1.539417217932478,1.7069379504147861,2.0609932415285277,0.6132127835613241,2.023425028100727,1,4,9,0.5-1 km,48.86,2.32,20,13,7,10,11,45,1.0
weekend,474.8811632025352,237.4405816012676,Entire home/apt,1,4.0,False,9.0,95.0,2.33149,48.86919,2.097561280152738,2.9598821722554662,1.0545567608556947,2.248253807097757,2.717606023010778,2.1240875710248788,1.0826764469915238,1.7908806598853908,2.590277547070062,1.8242670624148565,2.7680109134931095,1.0545567608556947,2.116049896409952,0,4,10,1-2 km,48.87,2.33,20,12,3,11,16,44,1.0
