,type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km
139,weekday,455.3080436200951,227.65402181004754,Private room,2,5.0,False,9.0,92.0,2.337,48.854,1.1898289101205928
140,weekday,530.5713486811446,265.2856743405723,Entire home/apt,1,4.0,False,9.0,96.0,2.34388,48.86196,0.8845199412073153
141,weekday,281.4801006617579,140.74005033087894,Entire home/apt,0,2.0,False,9.0,88.0,2.35725,48.86596,1.0951930088387558
142,weekday,1362.4289309348496,681.2144654674248,Entire home/apt,2,6.0,False,9.0,91.0,2.34441,48.85552,0.6224736711627532
143,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,10.0,95.0,2.357,48.864,0.8832421363211392
144,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,9.0,83.0,2.357,48.864,0.8832504610369238
145,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,9.0,95.0,2.357,48.864,0.883235883792328
146,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,10.0,100.0,2.357,48.864,0.8832488115202943
147,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,9.0,85.0,2.357,48.864,0.8832500798882593
148,weekday,357.4424457078945,178.72122285394724,Entire home/apt,0,2.0,False,10.0,94.0,2.357,48.864,0.8832460713449514
149,weekday,405.4431913505453,202.72159567527265,Entire home/apt,2,4.0,False,7.0,91.0,2.3426400000000003,48.87111,1.7785054387890529
150,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,8.0,77.0,2.357,48.864,0.8832620364218872
151,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,10.0,100.0,2.357,48.864,0.8832449646643864
152,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,10.0,94.0,2.357,48.864,0.8832458948155467
153,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,9.0,90.0,2.357,48.864,0.8832361750804796
154,weekday,451.81284369465936,225.90642184732968,Entire home/apt,1,3.0,False,10.0,95.0,2.35396,48.86526,0.9704735893128223
155,weekday,473.94910988908566,236.97455494454283,Entire home/apt,1,2.0,False,10.0,100.0,2.3609,48.85903,0.657818004815514
156,weekday,552.7076148755709,276.35380743778546,Entire home/apt,1,6.0,False,9.0,95.0,2.31023,48.87108,3.510969049017846
157,weekday,320.3933264982757,160.19666324913786,Private room,1,2.0,False,10.0,97.0,2.3625,48.86447,1.1330189770354686
158,weekday,577.8730543387082,288.9365271693541,Entire home/apt,0,2.0,False,10.0,80.0,2.32855,48.85948,1.804142667858757
159,weekday,266.334234318203,133.1671171591015,Entire home/apt,1,2.0,True,10.0,99.0,2.33991,48.8617,1.1009381329932035
160,weekday,377.48159194705937,188.74079597352969,Entire home/apt,0,2.0,False,8.0,75.0,2.3487400000000003,48.85852,0.3653710958770504
161,weekday,377.48159194705937,188.74079597352969,Entire home/apt,0,2.0,False,10.0,60.0,2.34844,48.85936,0.4429174587810903
162,weekday,377.48159194705937,188.74079597352969,Entire home/apt,0,2.0,False,8.0,60.0,2.3478,48.85937,0.478265370758909
163,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,8.0,71.0,2.357,48.864,0.8832453496682292
164,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,8.0,73.0,2.357,48.864,0.883262774604415
165,weekday,699.7390250722342,349.8695125361171,Entire home/apt,2,4.0,True,10.0,99.0,2.34045,48.87474,2.212366915523693
166,weekday,333.2090595582067,166.60452977910336,Entire home/apt,1,4.0,False,9.0,93.0,2.32527,48.87375,2.776627991517576
167,weekday,355.5783390809954,177.7891695404977,Entire home/apt,0,2.0,False,10.0,76.0,2.32692,48.8736,2.678266256813557
168,weekday,355.5783390809954,177.7891695404977,Entire home/apt,0,2.0,False,6.0,50.0,2.3267900000000004,48.87187,2.553076526058928
169,weekday,420.3560443657377,210.17802218286886,Entire home/apt,1,4.0,False,8.0,85.0,2.354,48.868,1.2742786575320375
170,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,8.0,60.0,2.35638,48.86374,0.8407752284289941
171,weekday,376.5495386336098,188.2747693168049,Entire home/apt,1,2.0,False,7.0,75.0,2.35766,48.858,0.3940899873614061
172,weekday,875.6640879858328,437.8320439929164,Entire home/apt,3,6.0,False,10.0,100.0,2.31179,48.88167,4.099899814301739
173,weekday,213.44020877994225,106.72010438997113,Entire home/apt,1,4.0,False,9.0,90.0,2.3480000000000003,48.876000000000005,2.188154463462044
174,weekday,324.35455308043623,162.17727654021812,Entire home/apt,1,2.0,True,10.0,99.0,2.36055,48.86601,1.1956754522934128
175,weekday,726.3025445055457,363.15127225277286,Entire home/apt,0,3.0,False,10.0,95.0,2.3287,48.85874,1.7803359578745437
176,weekday,301.053220244198,150.526610122099,Private room,1,2.0,True,10.0,80.0,2.3280000000000003,48.872,2.4975081922954097
177,weekday,332.5100195731196,166.2550097865598,Private room,1,2.0,False,9.0,95.0,2.342,48.875,2.195464845721677
178,weekday,714.6518780874267,357.32593904371333,Entire home/apt,0,3.0,False,10.0,93.0,2.32899,48.85677,1.74274426536254
179,weekday,393.79252493242615,196.89626246621307,Entire home/apt,2,6.0,False,7.0,86.0,2.3483400000000003,48.8702,1.5496171665041247
180,weekday,285.9073539006431,142.95367695032155,Entire home/apt,2,4.0,False,8.0,87.0,2.32077,48.87839,3.374166372105553
181,weekday,243.0329014819648,121.5164507409824,Entire home/apt,0,2.0,False,10.0,93.0,2.3553,48.85218,0.5224268780492861
182,weekday,776.1673967750955,388.08369838754777,Entire home/apt,1,3.0,False,9.0,73.0,2.33492,48.86801,1.8241965366348316
183,weekday,283.5772206170193,141.78861030850965,Entire home/apt,0,2.0,False,10.0,91.0,2.35802,48.86271,0.7848559514928748
184,weekday,1059.9776307204772,529.9888153602386,Entire home/apt,2,4.0,False,8.0,75.0,2.33417,48.86885,1.928954025320581
185,weekday,539.6588684872775,269.82943424363873,Entire home/apt,1,5.0,False,9.0,85.0,2.3511,48.86791,1.2667402196308095
186,weekday,331.34495293130766,165.67247646565383,Entire home/apt,0,2.0,True,10.0,95.0,2.36378,48.86476,1.2184270945432571
187,weekday,297.32500699039986,148.66250349519993,Private room,1,2.0,False,8.0,80.0,2.366,48.864,1.275882838842606
188,weekday,261.440954422593,130.7204772112965,Private room,1,2.0,False,10.0,98.0,2.366,48.864,1.2758832328382204
189,weekday,254.6835679000839,127.34178395004194,Entire home/apt,1,2.0,False,9.0,96.0,2.3532900000000003,48.86788,1.2582601005568264
190,weekday,762.1865970733526,381.0932985366763,Entire home/apt,2,6.0,False,9.0,87.0,2.35605,48.86672,1.1543853333147758
191,weekday,359.0735390064312,179.5367695032156,Private room,1,2.0,False,10.0,99.0,2.34,48.873000000000005,2.0521006838536024
192,weekday,480.70649641159474,240.35324820579737,Entire home/apt,0,3.0,False,10.0,85.0,2.34001,48.86913,1.6801940877013082
193,weekday,158.44906328642,79.22453164321,Private room,1,2.0,False,9.0,81.0,2.34462,48.87287,1.9078317245376304
194,weekday,158.44906328642,79.22453164321,Private room,1,2.0,False,5.0,60.0,2.3446,48.87231,1.849255788674535
195,weekday,288.23748718426697,144.11874359213348,Entire home/apt,1,2.0,False,10.0,94.0,2.34742,48.86707,1.2312082892367342
196,weekday,325.51961972224814,162.75980986112407,Entire home/apt,1,4.0,False,9.0,91.0,2.30606,48.87315,3.888810221006244
197,weekday,380.0447385590456,190.0223692795228,Entire home/apt,1,3.0,False,10.0,100.0,2.34601,48.86932,1.501320073919438
198,weekday,457.4051635753565,228.70258178767824,Entire home/apt,1,5.0,False,9.0,91.0,2.34492,48.86477,1.0775400905740726
199,weekday,225.09087519806133,112.54543759903066,Entire home/apt,0,2.0,False,9.0,96.0,2.35112,48.86914,1.4027851435720122
200,weekday,308.04362009506946,154.02181004753473,Private room,1,2.0,False,10.0,91.0,2.321,48.869,2.7077712157813223
201,weekday,312.7038866623171,156.35194333115854,Entire home/apt,1,2.0,False,10.0,100.0,2.34344,48.87146,1.7907771490186988
202,weekday,406.3752446639948,203.1876223319974,Entire home/apt,0,2.0,False,8.0,82.0,2.331,48.865,1.8501341576804156
203,weekday,486.5318296206543,243.26591481032716,Entire home/apt,1,4.0,False,10.0,95.0,2.34846,48.8686,1.374104219035739
204,weekday,497.9494827104111,248.97474135520554,Entire home/apt,1,5.0,False,9.0,93.0,2.35227,48.86407,0.8348207582663487
205,weekday,289.4025538260789,144.70127691303944,Entire home/apt,1,2.0,True,10.0,98.0,2.34876,48.86581,1.068284025393797
206,weekday,327.61673967750954,163.80836983875477,Entire home/apt,1,2.0,True,9.0,94.0,2.35927,48.8677,1.3269135441301845
