,type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km
1771,weekend,567.8534812191258,283.9267406095629,Entire home/apt,1,6.0,False,10.0,92.0,2.32502,48.88441,3.7033095719542017
1772,weekend,243.2659148103272,121.6329574051636,Entire home/apt,1,2.0,False,10.0,100.0,2.3357,48.8854,3.4404067786772967
1773,weekend,203.42063566035975,101.71031783017987,Entire home/apt,0,2.0,False,10.0,96.0,2.35086,48.89018,3.7392342564351297
1774,weekend,260.74191443750584,130.37095721875292,Entire home/apt,1,4.0,False,9.0,93.0,2.37615,48.86956,2.243413431136486
1775,weekend,521.4838288750117,260.74191443750584,Entire home/apt,2,4.0,False,8.0,100.0,2.36558,48.88155,2.932410859859168
1776,weekend,253.518501258272,126.759250629136,Entire home/apt,0,2.0,False,10.0,90.0,2.35096,48.87331,1.8658635301037685
1777,weekend,190.3718892720664,95.1859446360332,Private room,1,2.0,False,10.0,100.0,2.32265,48.88142,3.536189409431436
1778,weekend,231.61524839220803,115.80762419610402,Entire home/apt,1,2.0,False,9.0,100.0,2.34479,48.89172,3.95116086215401
1779,weekend,236.97455494454283,118.48727747227142,Entire home/apt,1,2.0,False,10.0,94.0,2.32869,48.88277,3.405473424378406
1780,weekend,382.3748718426694,191.1874359213347,Entire home/apt,1,2.0,True,10.0,100.0,2.3541,48.87337,1.8705932811508703
1781,weekend,266.5672476465654,133.2836238232827,Entire home/apt,0,2.0,False,10.0,100.0,2.36648,48.86946,1.7518566102168511
1782,weekend,324.5875664087986,162.2937832043993,Entire home/apt,1,4.0,False,10.0,100.0,2.35701,48.87051,1.5812185144735085
1783,weekend,278.2179140646845,139.10895703234226,Entire home/apt,1,4.0,False,10.0,100.0,2.341,48.882,2.955611025679832
1784,weekend,410.1034579177929,205.05172895889646,Entire home/apt,3,4.0,False,2.0,20.0,2.35893,48.87506,2.105228228536582
1785,weekend,289.8685804828036,144.9342902414018,Entire home/apt,1,4.0,False,10.0,90.0,2.37561,48.86987,2.235900744619736
1786,weekend,688.5543853108398,344.2771926554199,Entire home/apt,0,6.0,False,10.0,100.0,2.35651,48.87063,1.5875353401154024
1787,weekend,582.9993475626806,291.4996737813403,Private room,1,4.0,False,10.0,100.0,2.3273900000000003,48.88112,3.302712329533327
1788,weekend,243.0329014819648,121.5164507409824,Entire home/apt,1,3.0,False,7.0,88.0,2.3742,48.8714,2.2792472479451966
1789,weekend,278.2179140646845,139.10895703234226,Entire home/apt,1,3.0,False,10.0,100.0,2.31937,48.88701,4.176574605115429
1790,weekend,243.2659148103272,121.6329574051636,Entire home/apt,1,2.0,False,9.0,87.0,2.37185,48.870090000000005,2.055041333542352
1791,weekend,251.8874079597353,125.94370397986765,Entire home/apt,0,2.0,False,10.0,92.0,2.3363400000000003,48.87829,2.698013406061499
1792,weekend,280.3150340199459,140.15751700997296,Entire home/apt,1,2.0,False,10.0,100.0,2.34219,48.88368,3.111894890161996
1793,weekend,336.00521949855533,168.00260974927767,Entire home/apt,1,2.0,False,10.0,100.0,2.35045,48.87572,2.135821514732651
1794,weekend,197.36228912293785,98.68114456146893,Private room,1,2.0,False,10.0,95.0,2.37279,48.88053,3.04254388231929
1795,weekend,158.91508994314475,79.45754497157237,Entire home/apt,0,2.0,False,10.0,100.0,2.37049,48.87777,2.6924397453508844
1796,weekend,252.35343461646008,126.17671730823004,Entire home/apt,1,2.0,True,10.0,100.0,2.35763,48.8694,1.47087879348409
1797,weekend,231.61524839220803,115.80762419610402,Entire home/apt,1,2.0,False,10.0,100.0,2.35586,48.87615,2.1889268869708864
1798,weekend,278.2179140646845,139.10895703234226,Entire home/apt,2,4.0,False,10.0,100.0,2.37655,48.87117,2.383995047082129
1799,weekend,201.090502376736,100.545251188368,Entire home/apt,0,2.0,False,10.0,90.0,2.32194,48.8873,4.095852992658992
1800,weekend,207.1488489141579,103.57442445707895,Private room,1,2.0,True,10.0,100.0,2.33305,48.87949,2.929208566286828
1801,weekend,192.00298257060305,96.00149128530153,Entire home/apt,0,2.0,False,6.0,100.0,2.31839,48.88526,4.064729455319952
1802,weekend,243.2659148103272,121.6329574051636,Entire home/apt,0,2.0,False,8.0,100.0,2.36878,48.88121,2.981159127256478
1803,weekend,347.65588591667444,173.82794295833722,Entire home/apt,1,4.0,False,8.0,100.0,2.37325,48.87413,2.464410666460678
1804,weekend,194.3331158542269,97.16655792711344,Entire home/apt,0,2.0,False,10.0,100.0,2.32579,48.88504,3.7318356251709655
1805,weekend,376.5495386336098,188.2747693168049,Entire home/apt,1,2.0,False,10.0,80.0,2.34404,48.87915,2.5904060743635413
1806,weekend,233.4793550191071,116.73967750955354,Entire home/apt,1,4.0,False,10.0,100.0,2.3189,48.88391,3.9243229724183695
1807,weekend,706.962438251468,353.481219125734,Entire home/apt,3,4.0,False,10.0,98.0,2.326,48.883,3.5329559823711065
1808,weekend,417.0938577686644,208.5469288843322,Entire home/apt,0,2.0,True,10.0,98.0,2.337,48.881,2.951421511251787
1809,weekend,146.5653835399385,73.28269176996925,Private room,1,2.0,True,10.0,95.0,2.325,48.887,3.9478674488833
1810,weekend,556.2028148010066,278.1014074005033,Entire home/apt,2,4.0,True,10.0,97.0,2.36332,48.87106,1.7880893167512566
1811,weekend,216.4693820486532,108.2346910243266,Entire home/apt,1,4.0,False,9.0,90.0,2.36764,48.87057,1.9017269055182315
1812,weekend,273.55764749743685,136.77882374871842,Entire home/apt,1,2.0,True,10.0,97.0,2.36937,48.88078,2.9549236741096383
1813,weekend,382.3748718426694,191.1874359213347,Entire home/apt,1,2.0,True,10.0,98.0,2.337,48.881,2.951431525091033
1814,weekend,260.50890110914344,130.25445055457172,Entire home/apt,1,2.0,False,10.0,98.0,2.35211,48.87534,2.0874517164438107
1815,weekend,207.84788889924505,103.92394444962252,Private room,1,2.0,False,9.0,92.0,2.34997,48.88227,2.864545644043836
1816,weekend,1182.309628110728,591.154814055364,Entire home/apt,3,5.0,False,10.0,95.0,2.35169,48.8766,2.228340751997973
1817,weekend,376.5495386336098,188.2747693168049,Entire home/apt,1,4.0,False,10.0,93.0,2.31226,48.87991,3.9433200021365424
1818,weekend,144.9342902414018,72.4671451207009,Shared room,1,2.0,False,10.0,93.0,2.37597,48.87957,3.072470592460227
1819,weekend,295.4609003635008,147.7304501817504,Entire home/apt,1,4.0,False,9.0,96.0,2.36418,48.8738,2.091242496327251
1820,weekend,205.983782272346,102.991891136173,Private room,1,3.0,False,10.0,97.0,2.3632,48.87899,2.6079311358566613
1821,weekend,254.6835679000839,127.34178395004194,Entire home/apt,1,3.0,False,9.0,93.0,2.34209,48.87765,2.470591950137062
1822,weekend,417.0938577686644,208.5469288843322,Entire home/apt,1,2.0,True,10.0,99.0,2.337,48.881,2.951402547265475
1823,weekend,194.3331158542269,97.16655792711344,Entire home/apt,0,2.0,False,9.0,92.0,2.33167,48.87613,2.6680877160450844
1824,weekend,562.0281480100662,281.0140740050331,Entire home/apt,3,5.0,False,9.0,94.0,2.35492,48.87458,2.008784872817421
1825,weekend,243.0329014819648,121.5164507409824,Entire home/apt,1,3.0,False,8.0,100.0,2.34696,48.88572,3.268507525295466
1826,weekend,324.35455308043623,162.17727654021812,Entire home/apt,1,2.0,False,7.0,90.0,2.35743,48.87018,1.5518150359440968
1827,weekend,206.44980892907077,103.22490446453538,Private room,1,2.0,True,10.0,99.0,2.36401,48.87113,1.8175400683578455
1828,weekend,130.95349053965887,65.47674526982944,Private room,1,2.0,True,10.0,99.0,2.356,48.881,2.7265953828321043
1829,weekend,204.3526889738093,102.17634448690465,Private room,1,2.0,False,10.0,95.0,2.36139,48.87514,2.159847610050201
1830,weekend,495.8523627551496,247.9261813775748,Entire home/apt,1,3.0,False,10.0,100.0,2.3636,48.87356,2.049935889070144
1831,weekend,486.5318296206543,243.26591481032716,Entire home/apt,1,2.0,False,9.0,87.0,2.32337,48.88166,3.5245627790456395
1832,weekend,474.6481498741728,237.3240749370864,Entire home/apt,1,4.0,False,10.0,98.0,2.32992,48.879740000000005,3.0722192994063766
1833,weekend,289.8685804828036,144.9342902414018,Entire home/apt,1,2.0,False,10.0,98.0,2.35035,48.880790000000005,2.6985208054005687
1834,weekend,285.208313915556,142.604156957778,Entire home/apt,1,4.0,False,9.0,90.0,2.34578,48.88492,3.1930375496952013
1835,weekend,382.3748718426694,191.1874359213347,Entire home/apt,1,3.0,False,9.0,93.0,2.32775,48.88235,3.402280296187829
1836,weekend,273.3246341690745,136.66231708453725,Entire home/apt,1,2.0,True,9.0,94.0,2.3659,48.8733,2.0954516480071224
1837,weekend,435.5019107092926,217.7509553546463,Entire home/apt,2,4.0,False,9.0,89.0,2.34183,48.88362,3.112123975029069
1838,weekend,266.5672476465654,133.2836238232827,Entire home/apt,2,3.0,False,10.0,99.0,2.3694900000000003,48.87632,2.515917060042804
1839,weekend,404.2781247087333,202.13906235436664,Entire home/apt,1,2.0,False,9.0,96.0,2.37363,48.87127,2.240028441091788
1840,weekend,150.526610122099,75.2633050610495,Private room,1,2.0,False,8.0,85.0,2.36507,48.87317,2.0551338800406307
1841,weekend,222.52772858607517,111.26386429303759,Private room,1,2.0,True,10.0,96.0,2.33175,48.87809,2.84530482148889
